id,objectid,shape,cod_pais,pais,cod_depto,departamento,departamen_1,municipio,municipi_1,codigo,orig_fid,point_x,point_y
101,101,Point,GT,Guatemala,GT05,Escuintla,Escuintla,La Democracia,La Democracia,503,101,-90.949722,14.133497
102,102,Point,GT,Guatemala,GT13,Huehuetenango,Huehuetenango,La Democracia,La Democracia,1312,102,-91.875812,15.62328
103,103,Point,GT,Guatemala,GT09,Quetzaltenango,Quetzaltenango,La Esperanza,La Esperanza,923,103,-91.577176,14.878366
104,104,Point,GT,Guatemala,GT05,Escuintla,Escuintla,La Gomera,La Gomera,507,104,-91.112518,14.07838
105,105,Point,GT,Guatemala,GT13,Huehuetenango,Huehuetenango,La Libertad,La Libertad,1311,105,-91.927024,15.591449
106,106,Point,GT,Guatemala,GT17,Petén,Peten,La Libertad,La Libertad,1705,106,-90.643084,17.029862
107,107,Point,GT,Guatemala,GT12,San Marcos,San Marcos,La Reforma,La Reforma,1221,107,-91.849227,14.779648
108,108,Point,GT,Guatemala,GT19,Zacapa,Zacapa,La Unión,La Union,1909,108,-89.278112,14.955214
109,109,Point,GT,Guatemala,GT16,Alta Verapaz,Alta Verapaz,Lanquín,Lanquin,1611,109,-89.990132,15.566986
110,110,Point,GT,Guatemala,GT17,Petén,Peten,Las Cruces,Las Cruces,1713,110,-90.480695,16.630339
111,111,Point,GT,Guatemala,GT18,Izabal,Izabal,Lívingston,Livingston,1802,111,-89.151105,15.777356
112,112,Point,GT,Guatemala,GT18,Izabal,Izabal,Los Amates,Los Amates,1805,112,-89.061305,15.269392
113,113,Point,GT,Guatemala,GT03,Sacatepéquez,Sacatepequez,Magdalena Milpas Altas,Magdalena Milpas Altas,310,113,-90.67748,14.543278
